"""Brain Vitale""","","80049153"
"""Equate stool softener","2063549",""
"""Multivitamins for Active Men"" supplement (Progressive )","","80068809"
"""Raw One for Men""","","80028832"
"""Special Two"" MultiVitamin","","80068809"
"""Total Health Pack"" vitamins","","80068809"
"""bone strength""/d3","","2040905"
"""super prostate""","","80001088"
"""triflex"" sport glucosamine chondroitin msm blend","","80000269"
"#8 mag phos 6x","","2040921"
"(Equate) Century Silver for adults 50+ multivitamin and mineral","","80068809"
"(HYDROCHLOROTHIAZIDE 25MG","16500",""
"(Life brand) calcium/ magnesium","","2040875"
"(Sisu) B Calm","80028518",""
"(VITAMIN D (VITAMIN D3) 1000","","765384"
"(VITAMIN D3) 1000 UNIT)","","765384"
"(Wellquest) Stress B complex (Vit B6 & B12)","622664",""
"(marque sisu) multivitamines suprême","","80068809"
"(new champter), bone strengh","","80030444"
"(new chapter , bone strength take care","","80030444"
"0-Calcium with Vitamin D","","80007620"
"0-calcium plus d","","80007620"
"00% wild fish oil blend","","80003210"
"0000436 vitamin d 1000iu","","765384"
"000999111 diclofenac 100 mg 5%","2091194",""
"0019049 Vitamin B12, 6 and Folic Acid","","80025487"
"002470233, Perindopril Erubmine 4mg","2470233",""
"002480878 cyanacobalamin 1200 mcg","","406988"
"0038973 folic acid 1 mg","654256",""
"00778807 tobradex","778907",""
"00837730 furosemide 20 mg","289590",""
"00990841 cream for rash hc 1%","2176408",""
"00999214 tramadol hcl 40 mg","2426153",""
"0099999 DEFECATED THYROID 90 MG","2499401",""
"00999999 Estradiol .75mg","2451239",""
"00999999 Progesterone 100mg","2493578",""
"00999999 progesterone cream","2493578",""
"00999999 testosterone 5mg","2245972",""
"02099999 compound estriol in versebese","2451239",""
"02099999 compound testosterone n versebese","2322498",""
"02166724 progesterone","2166704",""
"022301482 cymbalta duloxetine","2301482",""
"02231450 mavik 2mg trandolapril","2231460",""
"02238885 tylenol arthritis","559393",""
"022433869 PREGABALIN 25 mg","2433869",""
"02247439 Sandoz-Bisprolol Fumarate 5mg","2247439",""
"02287943 ramipril","2287943",""
"02289288 Apo-Perindorpril 4mg","2289288",""
"0231686 xarelto rivaroxaban","2316986",""
"02326043 Teva-Amitriptyline 10mg","2326043",""
"02326078 Teva-Amitriptyline 50mg","2326078",""
"02337963 Apo-Rosuvastatin Calcium 10mg","2237983",""
"02341689 gd-diclofenac misoprostol","2341689",""
"02341689 gd-dicolofenac/misoprostol","2341689",""
"0234997 lumagen 0.01 %","2324997",""
"02357755 pms-trandolapril","2357755",""
"02357771 PMS-Trandolapril 2mg","2357771",""
"02357798 pms-trandolapril","2357798",""
"02368072 ibuprofen","2368072",""
"0237945 pms-pantoprazole 40mg","2307871",""
"02381184 rosuvastatin","2381184",""
"02387919 tiva-solifenacin","2397919",""
"02397358 Auro-Escitalopram 10mg","2397358",""
"02397900 teva-solifenacin","2397900",""
"02397919 - Teva - Solifenacin","2397919",""
"02397919 teva-solifenacin","2397919",""
"02399032 Sandoz-Solifenacin 5mg","2399032",""
"024 Jardiance Empagliflozin 25mg","2443945",""
"02400123 life brand ranitidine 150 mg","2291282",""
"02407124 Apo-Gliclazide MR 60mg","2407124",""
"02407124 Gliclazide 60mg","2407124",""
"02407124 apo-gliclazide mr","2407124",""
"02407124 gliclazide 60mg","2407124",""
"02407434 Mint Escitalopram","2407434",""
"02407434 Mint-Escital Opram 20mg","2407434",""
"02408570 MylPantoprazole T 40mgan-","2408570",""
"02408570 Myla-Pantoprazole T 40mg","2408570",""
"02408570 Mylan-Pantoprazole 40mg","2408570",""
"02408570 Mylan-Pantoprazole T 40mg","2408570",""
"02408570 PANTOPRAZOLE PANTOPRAZOLE magnesium 40 mg","2408570",""
"02408570 Pantaprazole - 40mg","2408570",""
"02408570 mylan panoprazole","2408570",""
"02408570 mylan pantaprozole 40 mg","2408570",""
"02408570 mylan-pantaprozole 40 mg","2408570",""
"02408570 mylan-pantopraazole magnessium 40 mg","2408570",""
"02408570 mylan-pantoprazole t","2408570",""
"02408570 mylan-pantoprazole","2408570",""
"02408570 mylan-pantropozole magnesium 40 mg","2408570",""
"02408570 pantaproloxole 40 mg","2408570",""
"02408570 pantaprozole 40 mg","2408570",""
"02408570 pantoprazole 40 mg","2408570",""
"02408570 pantoprazole t","2408570",""
"0240Milan-Pantoprazole T 40mg","2408570",""
"02410648 mylan-tadalafil","2410648",""
"02413159 SDZ-Tolterodine Tartrate LA 4mg","2413159",""
"02416808 Janumet XR","2416808",""
"02418932 Apo-Celecoxib 100mb","2418932",""
"02418932 Apo-Celecoxib 100mg","2418932",""
"02418940 Apo-Celecoxib 200mg","2418940",""
"02418940 Celecoxib 200mg","2418940",""
"02420058 mar-celecoxib","2420058",""
"02422115 apo-tadalafil 20 mg","2422115",""
"02422255 Mar-Clopidogrel 75mg","2422255",""
"02423596 Incruse ellipta","2423596",""
"02423596, Incruse Ellipta","2423596",""
"02427206 ASA","2427206",""
"02427206 Jamp-ASA EC 81mg","2427206",""
"02427206 jamp-asa ec","2427206",""
"02429454 duloxetine 60mg","2429454",""
"02429454 pms-duloxetime 60 mg","2429454",""
"02429705 Mint-Citalopram 20mg","2429705",""
"02429861 Amitriptyline HCL 10mg","2429861",""
"02432943 trintellix","2432943",""
"02433044 atomalow dose asa","2237726",""
"02434946 Ap0-Zolpidem Tartrate ODT 10mg","2434946",""
"02435381 Tiotropium 2.5mcg/act","2435381",""
"02435381 sprivia respirmat","2435381",""
"02435462 dapagliflozin 5 mg","2435462",""
"02435470 Forxiga 10mg","2435470",""
"02435470 Forxiga","2435470",""
"02435470 forxiga","2435470",""
"02435845 candesartan","2435845",""
"02435853 Lotemax 5","2435853",""
"02435993 Jami-Pregabalin 75mg","2435993",""
"02436159 apo-zolpidem odt","2436159",""
"02437945 PMS-Pantoprazole Sodium 40mg","2437945",""
"02437988 ran-solisefenacin 5 mg","2437988",""
"02437996 Ran-Solifenacin Succinate 10mg","2437996",""
"02437996 solisdnacin 10 mg","2437996",""
"02438275 Auro-metformin Hydrochloride 500mg","2438275",""
"02438984 Mint-Duloxetine 30mg","2438984",""
"02439611 Humalog KwikPen 200Units mL","2439611",""
"02439654 Act-Bupropion XL","2439654",""
"02439913 progesterone 100mg","2439913",""
"02439913 progesterone","2439913",""
"0243991Teva-Progesterone 100mg3","2439913",""
"02439948 sandoz duloxetine","2439948",""
"02439956 sandoz duloxetine","2439956",""
"02440342 Rosiver Cream","2440342",""
"02440628 Teva Pantoprazole Magnesium","2440628",""
"02440628 Teva-Pantoprazole Magnesium 40mg","2440628",""
"02440628 Texa-Pentopraz 40mg","2440628",""
"02440628 teva-pantoprazole magnesium","2440628",""
"02440628 teva-patoprazole","2440628",""
"02441853 Alt-Pantoprazole Magnesium 40mg","2441853",""
"02441853 Pantoprazole Magnesium 40mg","2441853",""
"02441853 Pantoprazole Magnesium","2441853",""
"02441853 pantoprazole","2441853",""
"02441888 instiolto resprimat 180 mg","2441888",""
"02441969, methylphenidate","2441969",""
"02442000 Valacyclovir Hydrochlorid","2442000",""
"02442132 Siv-Metoprolol","2442132",""
"02442191 ACTOlmesartan 20mg","2442191",""
"02442390 auro-rosuvastatin","2442590",""
"02442558 levetiracetam","2442558",""
"02442574 Auro-Rosuvastatin 5mg","2442574",""
"02442574 Auro-Rosuvastatin Calcium 5mg","2442574",""
"02442590 Auro-Rosuvastatin 20mg","2442590",""
"02442590 Auro-rosuvastatin","2442590",""
"02443058 dustasteride","2443058",""
"02443112 act-olmesartan 20/12.5","2443112",""
"02443414 SDZ-Olmesartan 20mg","2443414",""
"02443414 sandoz olmesartan 20mg","2443414",""
"02443414 sandoz olmesartan medoxomil 20mg","2443414",""
"02443422 SDZ-Olmesartan Medoxomil 40mg50mg","2443422",""
"02443422 olmesartan","2443422",""
"024434414 olmesartan medoxomil","2443414",""
"02443449 Mylan-Naproxen/Esomeprazole 500mg/20mg","2443449",""
"02443684 Olmesartan","2443864",""
"02443864 Olmesartan 20mg","2443864",""
"02443864 auro-olmesartan 20mg","2443864",""
"02443864 auro-olmesartan","2443864",""
"02443937 Empagliflozin 10mg","2443937",""
"02443937 Jardiance 10mg","2443937",""
"02443937 Narduabce 10mg","2443937",""
"02443937 empaglislozin 10 mg","2443937",""
"02443937 jardiance empagliflozin","2443937",""
"02443945 Empagliflozin Jardiance 25mg","2443945",""
"02443945 Jardiance 25mg","2443945",""
"02443945 empagliflozin 25mg","2443945",""
"02443945 empagliflozin","2443945",""
"02443945 jardiance empaglifozin","2443945",""
"02443945 jardiance","2443945",""
"02443945 jardince","2443945",""
"02444186 breo ellipta","2444186",""
"02445689 Celecoxib, Auro-Celecoxib 200mg Cap","2445689",""
"02445689 auro-celecoxib","2445689",""
"02446057 evolocumab 140 mg","2446057",""
"02446588 arnuity ellipta 200 mcg","2446588",""
"02446936 Enteres","2446936",""
"02446936 Entresto 51 & 49mg","2446936",""
"02446944 Entresto 97/103 mg","2446944",""
"02447541 siv-finasteride","2447541",""
"02447541, Finasteride","2447541",""
"02447576 (name un-readable)","2447576",""
"02448602 dulaglutide 1.5mg","2448602",""
"02449056 Lupin-Estradiol 1mg","2449056",""
"02449498 Genvoya","2449498",""
"02449943 xigduo dapagliflozin and metformin hydrochloride","2449943",""
"02450496 Verapamil HCL SR 240mg","2450496",""
"02451530 viacoram","2451530",""
"02451530 viacoroam","2451530",""
"02453363 apo-cetirizine","2453363",""
"02453606 Apo-Olmesartan/HCTZ 20 & 12.5mg","2453606",""
"02453606 apo-olmesartan/hctz 20mg/12.5mg","2453606",""
"02453606 apo-olmesatan hctz","2453606",""
"02453614 apo-olmesartan hctz 40mg/12.5mg","2453614",""
"02453622 Apo-Olmesartan/HCTZ 40mg/25mg","2453622",""
"02453649 culoxetine 60mg","2453649",""
"02454130 bllexten bilastine","2454130",""
"02454467 Apo-Alendronate / Vitamin D3 70mg / 2800IU","2454467",""
"02454467 Apo-Alendronate / Vitamin D3 70mg/2800IU","2454467",""
"02454645, valacyclovir","2454645",""
"02456591 synjardy","2456591",""
"02456621 synjardi ?","2456621",""
"02457113 Abiraterone Acetate 500mg","2457113",""
"02457865 Jamp-Hydralazine 10mg","2457865",""
"02458659 Edoxaban 30 mg","2458659",""
"02460513 24 HR Nasal Allergy Relief","2460513",""
"02460912 - Rexall Apo-Phenytoin","2460912",""
"02461323 gliglaczide 30mg","2461323",""
"02461323, glicazide MR","2461323",""
"02461536 methacin 50 mg mint or ment","2461536",""
"02461536 mint-indomethacin 50 mg","2461536",""
"02461536 mint-indomethacin","2461536",""
"02461692 vivitru immunoglobulin","2461692",""
"02462869 erelzi 50 mg","2462869",""
"02463806 Taro-Testosterone Gel 5G sachet","2463806",""
"02463806 Taro-Testosterone Gel 5g","2463806",""
"02464039 Teva-Perindopril & Indapamide 8&2.5mg","2464039",""
"02464039 teva perindop-indapamhd","2464039",""
"02464993 Teva-Perindopril 4mg","2464993",""
"02464993 teva-perindopril","2464993",""
"02465000 Teva-Perindopril 8mg","2465000",""
"02465000 teva-perindopril 8 mg","2465000",""
"02465035 Voltaren","2465035",""
"02465612 mint-bisoprolol","2465612",""
"02466147 Pantoloc","2466147",""
"02466147 pantoprazole","2466147",""
"02466465 Atenolol 50mg","2466465",""
"02466465 atenolol","2466465",""
"02466485 Atenolol","2466465",""
"02466759 Mint-Furosemide 20mg","2466759",""
"02466759 furosemide","2466759",""
"02466759 mint-furosemide","2466759",""
"02466988 apo-desvenlafaxine","2466988",""
"02466996 apo-desvenlafaxine 100 mg","2466996",""
"02467879 Tresiba Insulan Injection","2467879",""
"02469308 Auro-Dutasteride 0.5mg","2469308",""
"02469995 simvastastin","2469995",""
"02470225 Sandoz - perindopril","2470225",""
"02470225 sandoz perindopril","2470225",""
"02470241 Sandoz-Perindopril 8mg","2470241",""
"02470241 Sandoz-Perindopril Erbumine 8mg","2470241",""
"02470241 perindopril erbumine 8 mg","2470241",""
"02470241 sandoz perindopril","2470241",""
"02470438 Perindopril / Erburmine 4mg/1.25mg","2470438",""
"02470438 Sandoz-Perindopril Erbumine Indapamide 4mg/1.24mg","2470438",""
"02470446 sandoz-perindopil-inbabamide 8-2.5 mg","2470446",""
"02470675 PMS Perindopril 2mg","2470675",""
"02470683 PMS-Perindopril 4mg","2470683",""
"02470683 PMS-Perindopril Erbumine 4mg","2470683",""
"02470683 Perindopril","2470683",""
"02470691 PMS -Perindopril, Erbumine 8mg","2470691",""
"02470691 PMS-Perindopril 8mg","2470691",""
"02470691 pms-perindopril","2470691",""
"02471027 lifitegrast 5 %","2471027",""
"02471086 Apo- Aripiprazole 2mg","2471086",""
"02471086 Apo-Aripiprazole 2mg","2471086",""
"02471469 OZEMPIC","2471469",""
"02471469 semaglutide 1mg","2471469",""
"02472945 contravt","2472945",""
"0247469 ozempic 1 mg","2471469",""
"02475804 bupropin hydrochlorine","2475804",""
"02475863 teva-mometasone","2475863",""
"02479877, Perindopril Erbumine 2mg","2479877",""
"02480808 xarelto 2.5 mg","2480808",""
"02481057 olmesartan 20 mg","2481057",""
"02481634 perindoperil","2481634",""
"02494035 bisoprolol 5 mg","2494035",""
"02494035 sandoz-bisoprolol fumirate 5 mg","2494035",""
"02495562 siv-bisoprolol","2495562",""
"02Pantoprazole Magnesium 40mg","2412969",""
"03Mega triple strength + D3","","80024089"
"03Mega","","80002617"
"03mega","","80002617"
"03mega+ joy","","80002617"
"03mega+joy","","80002617"
"0426840 folic acid 5 mg","426849",""
"0582833 pms-bisacodul rectal 10mg","582883",""
"0906930 Testosterone .25ml","2322498",""
"0907049 Bi -Est .25ml","2451239",""
"0963836 Progesterone .25ml","2493578",""
"09857334 Ratio-Tamsulosin 0.4 mg","2294265",""
"09857463 Eliquis Apixaban 2.5mg","2377233",""
"09857463 eliquis 2.5mg","2377233",""
"0mega 3 - huile de lin","","80002617"
"0mega 3 670 mg","","80002617"
"0mega 3","","80002617"
"0mega 3-6-9 by jameison","","80003210"
"0mega 3-6-9- 300mg-210mg-150mg","","80002617"
"0mega-3","","80002617"
"0zempic semaglutide","2471469",""
"1 a day vitamin 50+","","80068809"
"1 a day vitamin men over 50","","80068809"
"1 mg low dose ASA","2237726",""
"1 prostate","","80001088"
"1% Clotrimaderm","812382",""
"1% Hydrocortisone Anti Itch Cream","551945",""
"1-Alpha","474517",""
"1-a-day multivitamin with calcium","","80068809"
"1-a-day women's formula","","80068809"
"1-alpha","","765384"
"10 Apo-Drozo-Timop 2%/0.5 GGT SDZ","2299615",""
"10-undecenoic acid (from castor bean oil)","240664",""
"100 % wild fish oil 1000 mg","","80003210"
"100 % wild fish oil blend 1000 mg","","80003210"
"100 % wild fish oil blend","","80003210"
"100 Blexten","2519038",""
"100 GM Diclofenac 10% in Transdermal Pro Gel","2290375",""
"100 PRAXIS ASA","2283700",""
"100 hydrochlorothiaz","2363879",""
"100 per cent wild fish oil blend","","80003210"
"100 percent wild alaskan salmon oil","","80003210"
"100 tab flomax","2238123",""
"100% Alaskan Salmon Oil","","80003210"
"100% Alaskan Salmon oil","","80003210"
"100% Fish oil blend","","80003210"
"100% Natural Fruit chew C500 mg","","80021855"
"100% Natural Psyllium husk fiber","2243925",""
"100% Natural Ultra Fiber","","80061769"
"100% Ultra-Fiber","","80037679"
"100% Whey Isolate Protein Powder","","80065257"
"100% Wild Alaskan Salmon OIl 90EPA 110 DHA 1200mg","","80003210"
"100% Wild Alaskan Salmon Oil","","80003210"
