"input","match","din/npn","dtc","ahfs","database","pres","type","both"
"100 % wild fish oil 1000 mg","Fish Oil","80000846","","","natural","","word",""
"100 % wild fish oil 1000 mg","Fish Oil 1000","80002102","","","natural","","word",""
"100 % wild fish oil 1000 mg","Fish Oil 1000 Mg","80008665","","","natural","","word",""
"100 % wild fish oil 1000 mg","Wild Fish Oil","80005868","","","natural","","word",""
"5 htp","5- Htp","80007799","","","natural","NO","simple",""
"5 htp","5-Htp","80007051","","","natural","NO","simple",""
"5 htp","5-Htp+","80058879","","","natural","NO","simple",""
"5 htp","5htp","80039868","","","natural","NO","simple",""
"60 biocal-d forte","Biocal-D","80004143","","","natural","","word",""
"60 biocal-d forte","Biocal-D Forte","80012594","","","natural","","word",""
"60 biocal-d forte","Forte","80066882","","","natural","","word",""
"a.s.a","A.S.A.","02096463","N02BA01","28:08.04.24","drug","","simple","no"
"a.s.a","ASA","02427168","N02BA01","28:08.04.24","drug","","simple","no"
"Advil Ibuprofen Tablets","IBUPROFEN","02238004","M01AE01","28:08.04.92","drug","","word","no"
"Advil Ibuprofen Tablets","IBUPROFEN TABLETS","02368072","M01AE01","28:08.04.92","drug","","word","no"
"African Mango 1200 mg plus Green Tea","African Mango","80040792","","","natural","","word",""
"African Mango 1200 mg plus Green Tea","African Mango 1200","80046530","","","natural","","word",""
"African Mango 1200 mg plus Green Tea","Green Tea","80007073","","","natural","","word",""
"African Mango 1200 mg plus Green Tea","Plus","80039392","","","natural","","word",""
"Alieve  extra strength","Extra","80062086","","","natural","","word",""
"Alieve  extra strength","Strength","80060537","","","natural","","word",""
"allergy relief - non drowsy","ALLERGY","02320789","R06AA02","04:04.04","drug","","word","no"
"allergy relief - non drowsy","ALLERGY RELIEF","00870927","R06AX12","04:08.00","drug","","word","yes"
"allergy relief extra strength","ALLERGY","02320789","R06AA02","04:04.04","drug","","word","no"
"allergy relief extra strength","ALLERGY RELIEF","00870927","R06AX12","04:08.00","drug","","word","yes"
"amazon tonic three","Three","80025058","","","natural","","word",""
"amazon tonic three","Tonic","80052800","","","natural","","word",""
"amieson glucosamine 300 mg, chondroitin 200 mg","Chondroitin","80001847","","","natural","","word",""
"amieson glucosamine 300 mg, chondroitin 200 mg","Glucosamine","80000334","","","natural","","word",""
"amino acid suppliment","Acid","80023450","","","natural","","word",""
"amino acid suppliment","Amino","80072294","","","natural","","word",""
"amino l glutamine powder","Amino","80072294","","","natural","","word",""
"amino l glutamine powder","Glutamine","80002956","","","natural","","word",""
"amino l glutamine powder","Glutamine Powder","80006458","","","natural","","word",""
"amino l glutamine powder","L Glutamine","80041095","","","natural","","word",""
"apo naproxen ec","NAPROXEN","02350750","M01AE02","28:08.04.92","drug","","word","no"
"apo naproxen ec","NAPROXEN EC","02350785","M01AE02","28:08.04.92","drug","","word","no"
"Apo-Atorvastatin Calcium 20mg","APO-ATORVASTATIN","02295261","C10AA05","24:06.08","drug","","word","no"
"Apo-Atorvastatin Calcium 20mg","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"areds formula mutlivitamin","Areds","80070679","","","natural","","word",""
"areds formula mutlivitamin","Areds Formula","80066687","","","natural","","word",""
"Athletic Greens Premium Superfood Cocktail","Greens","80025575","","","natural","","word",""
"Athletic Greens Premium Superfood Cocktail","Superfood","80039032","","","natural","","word",""
"Atorvastatin Calcium","ATORVASTATIN","02346486","C10AA05","24:06.08","drug","","word","no"
"Atorvastatin Calcium","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"Avena Original Herb Cocktail","Herb Cocktail","80038876","","","natural","","word",""
"Avena Original Herb Cocktail","Original / 4 Milliards De Cellules Actives / 4 Billion Acitve Cells","80060480","","","natural","","word",""
"b 12","B12","80002409","","","natural","","simple",""
"b 12","B12+","80066144","","","natural","","simple",""
"b 12","Vitamin B-12 1000 Mcg","80072924","","","natural","","simple",""
"b 6","B6","80060807","","","natural","","simple",""
"b 6","B6 + 5-Htp","80066651","","","natural","","simple",""
"b 6","B6 Tablets 100 Mg","00450677","","","natural","","simple",""
"B Complex Stress Tab","STRESS","00167002","A11JB","","drug","","word","yes"
"B Complex Stress Tab","STRESS TAB","00537128","A11EB","88:08.00 88:12.00","drug","","word","no"
"b-100 ultra b  complex","B-100 Complex Timed Release","80016818","","","natural","","word",""
"b-100 ultra b  complex","Ultra","80059272","","","natural","","word",""
"b6 b12","Vitamin B6, B12 And 1 Mg Folic Acid","80007194","","","natural","NO","simple",""
"b6 b12","Vitamin B6, B12 With Folic Acid","80025487","","","natural","NO","simple",""
"barley life","Barley","80024879","","","natural","","word",""
"barley life","Life","80037973","","","natural","","word",""
"bayer brand one a day multivitamin for women","FOR WOMEN","02240798","A11JB","88:28.01","drug","NO","word","no"
"bayer brand one a day multivitamin for women","MULTIVITAMIN","02236800","","","drug","NO","word","yes"
"Bell prostate Ezee Flow tea","Angelica","80038461","","","natural","","word",""
"Bell prostate Ezee Flow tea","Diuretic","80064621","","","natural","","word",""
"Bell prostate Ezee Flow tea","Ezee Flow Tea","80046303","","","natural","","word",""
"Bell prostate Ezee Flow tea","Prostate","80025227","","","natural","","word",""
"Bell prostate Ezee Flow tea","Prostate Ezee Flow Tea","80051642","","","natural","","word",""
"biocal-d forte 500 mg 400 ui","Biocal-D","80004143","","","natural","","word",""
"biocal-d forte 500 mg 400 ui","Biocal-D Forte","80012594","","","natural","","word",""
"biocal-d forte 500 mg 400 ui","Forte","80066882","","","natural","","word",""
"biocal-D forte 500mg","Biocal-D","80004143","","","natural","","word",""
"biocal-D forte 500mg","Biocal-D Forte","80012594","","","natural","","word",""
"biocal-D forte 500mg","Forte","80066882","","","natural","","word",""
"biocal-d forte 500mg-400ui","Biocal-D","80004143","","","natural","","word",""
"biocal-d forte 500mg-400ui","Biocal-D Forte","80012594","","","natural","","word",""
"biocal-d forte 500mg-400ui","Forte","80066882","","","natural","","word",""
"Bioclinic Naturals Vital 2 Platinum","Vital 2 Platinum","80046745","","","natural","","word",""
"Bioclinic Naturals Vital 2 Platinum","Vital 2 Platinum","80061668","","","natural","","word",""
"bone strength supplement","Osteo Strength","80064258","","","natural","","word",""
"bone strength supplement","Strength","80060537","","","natural","","word",""
"boost high protein drink supplement","Boost","80059536","","","natural","","word",""
"boost high protein drink supplement","Protein","80057932","","","natural","","word",""
"Cal/Mag with zinc","Mag/Cal","80039031","","","natural","","word",""
"Cal/Mag with zinc","Zinc","80000717","","","natural","","word",""
"calcia calcium + vitamine D","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcia calcium + vitamine D","VITAMINE D","02136872","A11CC","88:16.00","drug","","word","yes"
"calcium   magnesium","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium   magnesium","MAGNESIUM","00532479","A12CC","88:29.00","drug","","word","yes"
"Calcium  Magnesium","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"Calcium  Magnesium","MAGNESIUM","00532479","A12CC","88:29.00","drug","","word","yes"
"Calcium & Magnesium & Vitamin D 500mg / 50mg / 100mg","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"Calcium & Magnesium & Vitamin D 500mg / 50mg / 100mg","CALCIUM & MAGNESIUM","02245339","A12AX","88:29.00","drug","","word","yes"
"Calcium & Magnesium & Vitamin D 500mg / 50mg / 100mg","MAGNESIUM","00532479","A12CC","88:29.00","drug","","word","yes"
"Calcium & Magnesium & Vitamin D 500mg / 50mg / 100mg","VITAMIN D","02241564","A11CC","88:16.00","drug","","word","yes"
"Calcium & Magnesium Citrate 125 mg/125 mg","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"Calcium & Magnesium Citrate 125 mg/125 mg","CALCIUM & MAGNESIUM","02245339","A12AX","88:29.00","drug","","word","yes"
"Calcium & Magnesium Citrate 125 mg/125 mg","MAGNESIUM","00532479","A12CC","88:29.00","drug","","word","yes"
"Calcium & Magnesium Citrate 125 mg/125 mg","MAGNESIUM CITRATE","02151588","A12CC30","88:29.00","drug","","word","yes"
"Calcium & magnesium with Vit D","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"Calcium & magnesium with Vit D","CALCIUM & MAGNESIUM","02245339","A12AX","88:29.00","drug","","word","yes"
"Calcium & magnesium with Vit D","MAGNESIUM","00532479","A12CC","88:29.00","drug","","word","yes"
"calcium + Vitamin D  500mg / 400IU","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium + Vitamin D  500mg / 400IU","VITAMIN D","02241564","A11CC","88:16.00","drug","","word","yes"
"Calcium + Vitamin D 600mg/125IU","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"Calcium + Vitamin D 600mg/125IU","VITAMIN D","02241564","A11CC","88:16.00","drug","","word","yes"
"Calcium / Vitamin D 600/400","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"Calcium / Vitamin D 600/400","VITAMIN D","02241564","A11CC","88:16.00","drug","","word","yes"
"Calcium 500 mg and Vitwamin D3 125 iu","CALCIUM","02175584","A12AA","88:29.00","drug","YES","word","yes"
"Calcium 500 mg and Vitwamin D3 125 iu","CALCIUM 500 MG","02243626","A12AA04","40:12.00","drug","YES","word","yes"
"calcium 500 mg et vitaminde d 400 ui","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium 500 mg et vitaminde d 400 ui","CALCIUM 500 MG","02243626","A12AA04","40:12.00","drug","","word","yes"
"calcium 500 mg et vitamine D 400 UI","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium 500 mg et vitamine D 400 UI","CALCIUM 500 MG","02243626","A12AA04","40:12.00","drug","","word","yes"
"calcium 500 mg et vitamine D 400 UI","VITAMINE D","02136872","A11CC","88:16.00","drug","","word","yes"
"calcium 500 mg et vitamine D 400UI","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium 500 mg et vitamine D 400UI","CALCIUM 500 MG","02243626","A12AA04","40:12.00","drug","","word","yes"
