"input","match","din/npn","dtc","ahfs","database","pres","type","both"
")-Calcium with Vitamin D","VITAMIN D","02241564","A11CC","88:16.00","drug","","word","yes"
"00026158  Senokot  Sennosides 8.6 mg","Senokot Tablets","00026158","","","natural","YES","code",""
"02237556 Eur-Fer   300mg","Euro-Fer","02237556","","","natural","","code",""
"02367335 sandoz latanoprost 1 drop","SANDOZ LATANOPROST","02367335","S01EE01","52:40.28","drug","","code","no"
"02371987 Mar-Atenolol  50mg","MAR-ATENOLOL","02371987","C07AB03","24:24.00","drug","","code",""
"02374420  Apo-Anastrozole  1mg","APO-ANASTROZOLE","02374420","L02BG03","10:00.00","drug","","code","no"
"02375095 cetirizine, 10mg","CETIRIZINE","02375095","R06AE07","04:08.00","drug","","code",""
"02377721  Apo-risedronate 150mg","APO-RISEDRONATE","02377721","M05BA07","92:24.00","drug","","code",""
"02382075 Bupropion  150mg","MYLAN-BUPROPION XL","02382075","N06AX12","28:16.04.92","drug","","code","no"
"02382083  Mylan-Bupropion XL  300mg","MYLAN-BUPROPION XL","02382083","N06AX12","28:16.04.92","drug","","code",""
"02387875 Alysena 21  0.1mg/.02mg","ALYSENA 21","02387875","G03AA07","68:12.00","drug","","code","no"
"02391481 mar-gabapentin 300 mg","MAR-GABAPENTIN","02391481","N03AX12","28:12.92","drug","","code",""
"02394618, METHADONE","METHADOSE","02394618","N07BC02","28:08.08","drug","","code",""
"02394790 asa low dose 81 mg","ASA DAILY LOW DOSE","02394790","B01AC06","28:08.04.24","drug","YES","code",""
"02397714  Eliquis (Apixaban) 5mg","ELIQUIS","02397714","B01AF02","20:12.04.14","drug","","code",""
"02402777 apo-allopurinol 200mg","APO-ALLOPURINOL","02402777","M04AA01","92:16.00","drug","","code",""
"02405636 ROSUVASTATIN","ROSUVASTATIN","02405636","C10AA07","24:06.08","drug","","code",""
"02413809  Teva-Risedronate 150mg","TEVA-RISEDRONATE","02413809","M05BA07","92:24.00","drug","","code",""
"02434946  Apo-Zolpidem ODT  10mg","APO-ZOLPIDEM ODT","02434946","N05CF02","28:24.92","drug","YES","code","no"
"2% Salicylic Acid in Desonide Ointment","Acid","80023450","","","natural","","word",""
"20/20 vision","20/20 Vision","80025091","","","natural","","direct",""
"2385929 venlafaxine hcl 37.5 mg","VENLAFAXINE XR","02385929","N06AX16","28:16.04.16","drug","","code",""
"2403587  Apo-Mometasone   50mcg","APO-MOMETASONE","02403587","R01AD09","52:08.08","drug","","code","no"
"30 Lithane","LITHANE","00406775","N05AN01","28:28.00","drug","","word","no"
"30 Synthroid","SYNTHROID","02172070","H03AA01","68:36.04","drug","YES","word","no"
"50+ MULTIVITAMIN","MULTIVITAMIN","02236800","","","drug","","word","yes"
"50+ vitamin","Daily Multi Vitamin","80067478","","","natural","","word",""
"80000435  Novo-Ferrogluconate  300mg","Ferrous Gluconate","80000435","","","natural","","code",""
"80040226-Slow K 8MEQ","Slow-K","80040226","","","natural","","code",""
"a.g.select canneberge","Canneberge","80009089","","","natural","","word",""
"a.s.a 81 mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","","simple","no"
"acebutolol 200 mg","ACEBUTOLOL","02286246","C07AB04","24:24.00","drug","","word","no"
"Acetaminophen  500mg","ACETAMINOPHEN","02236958","N02BE01","28:08.92","drug","","word","no"
"acetaminophen 500mg","ACETAMINOPHEN 500MG","02238806","N02BE01","28:08.92","drug","","direct","no"
"acetaminophen extra fort","ACETAMINOPHEN","02236958","N02BE01","28:08.92","drug","NO","word","no"
"acetaminophene","ACETAMINOPHENE","02269961","N02BE01","28:08.92","drug","","direct","no"
"acetaminophene 650","ACETAMINOPHENE","02269961","N02BE01","28:08.92","drug","","word","no"
"acetaminophene 650 mg","ACETAMINOPHENE","02269961","N02BE01","28:08.92","drug","","word","no"
"acetyl-l-carnitine","Acetyl-L-Carnitine","80041758","","","natural","","direct",""
"Acetylsalicylic Acid","Acid","80023450","","","natural","","word",""
"Acid Reducer","ACID REDUCER","02230507","A02BA02","56:28.12","drug","YES","direct","no"
"acid reduction pill like tecta","TECTA","02267233","A02BC02","56:28.36","drug","","word","no"
"acid reflux medication","Acid","80023450","","","natural","","word",""
"acide folique","Acide Folique","80031495","","","natural","","direct",""
"acide folique 5 mg","Acide Folique","80031495","","","natural","","word",""
"acidophilus","Acidophilus","80012580","","","natural","","direct",""
"acidophilus & bifidus","Acidophilus & Bifidus","80034507","","","natural","","direct",""
"acidophilus ultra","Acidophilus Ultra","80022124","","","natural","NO","direct",""
"Act-Atorvastatin","ACT ATORVASTATIN","02310899","C10AA05","24:06.08","drug","","simple","no"
"action rapide acetaminophène","RAPIDE","02245733","V07AV","38:00.00","drug","","word","no"
"active calcium plus","Active Calcium Plus","80003103","","","natural","","direct",""
"Active-X multivitamin","MULTIVITAMIN","02236800","","","drug","","word","yes"
"actonel","ACTONEL","02239146","M05BA07","92:24.00","drug","","direct","no"
"adalat","ADALAT","02155869","C08CA05","24:28.08","drug","","direct","no"
"adalat  XL","ADALAT","02155869","C08CA05","24:28.08","drug","","word","no"
"Adalat 30mg","ADALAT","02155869","C08CA05","24:28.08","drug","","word","no"
"Adalat XL","ADALAT","02155869","C08CA05","24:28.08","drug","","word","no"
"adalat xl","ADALAT","02155869","C08CA05","24:28.08","drug","YES","word","no"
"Adalat XL 30 mg","ADALAT","02155869","C08CA05","24:28.08","drug","","word","no"
"adrenal +","Adrenergy","80037728","","","natural","","direct",""
"Adrien Gagnon Artichaut","Artichaut","80001807","","","natural","NO","word",""
"Adult multi vitamine 50+","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"Adult Multivitamins life brand","MULTIVITAMINS","00244341","A11BA","88:28.00","drug","","word","yes"
"advair 250","ADVAIR 250","02245127","R03AK06","12:12.08.12","drug","","direct","no"
"advair 250 diskus","ADVAIR 250 DISKUS","02240836","R03AK06","12:12.08.12","drug","","direct","no"
"advil extra fort 400 mg","Extra","80062086","","","natural","","word",""
"advil extra fort pour migraines","Extra","80062086","","","natural","","word",""
"advil for muscle and joint","Muscle","80058910","","","natural","","word",""
"advil liqui gels","ADVIL LIQUI-GELS","02241769","M01AE01","28:08.04.92","drug","","simple","no"
"advil reliieves headaches, fever muscle  and joint pain, 200mg","Muscle","80058910","","","natural","NO","word",""
"aerius","AERIUS","02243919","R06AX27","04:08.00","drug","","direct","no"
"aerius","AERIUS","02243919","R06AX27","04:08.00","drug","NO","direct","no"
"AG NATURAL HEALTH Multivitamine","MULTIVITAMINE","02238090","A11JC","88:28.00","drug","","word","no"
"Aggrenox","AGGRENOX","02242119","B01AC30","24:12.92","drug","","direct","no"
"ala","Ala","80004437","","","natural","","direct",""
"alaskan salmon oil","Alaskan Salmon Oil","80021914","","","natural","","direct",""
"Alendronate","ALENDRONATE","02299712","M05BA04","92:24.00","drug","","direct","no"
"alendronate 70 mg","ALENDRONATE","02299712","M05BA04","92:24.00","drug","","word","no"
"Alendronate sodium (Fosamax)","ALENDRONATE","02299712","M05BA04","92:24.00","drug","","word","no"
"alesse 28","ALESSE 28","02236975","G03AA07","68:12.00","drug","","direct","no"
"aleve","ALEVE","02301733","M01AE02","28:08.04.92","drug","","direct","no"
"Aleve","ALEVE","02301733","M01AE02","28:08.04.92","drug","YES","direct","no"
"Aleve 220 mg","ALEVE","02301733","M01AE02","28:08.04.92","drug","","word","no"
"Alfalfa","ALFALFA","02234290","","92:02.00","drug","","direct","yes"
"AlgaeCal Plus","Algaecal Plus","80011815","","","natural","NO","direct",""
"align","Align","80071439","","","natural","NO","direct",""
"align","Align","80071439","","","natural","","direct",""
"align (probiotic)","Align","80071439","","","natural","","word",""
"Align - Probiotic Supplement","PROBIOTIC","02172909","A07FA01","56:08.00","drug","","word","yes"
"All greens","All Greens","80031735","","","natural","","direct",""
"allergiplex","Allergiplex","80022986","","","natural","","direct",""
"allopurinol","ALLOPURINOL","00294322","M04AA01","92:16.00","drug","","direct","no"
"Allopurinol","ALLOPURINOL","00294322","M04AA01","92:16.00","drug","YES","direct","no"
"Allopurinol 100mg","ALLOPURINOL","00294322","M04AA01","92:16.00","drug","","word","no"
"allopurinol 200 mg","ALLOPURINOL","00294322","M04AA01","92:16.00","drug","","word","no"
"Aloe Gold","ALOE","02233083","","92:02.00","drug","","word","yes"
"alphagan","ALPHAGAN","02236876","S01EA05","52:40.04","drug","","direct","no"
"alprazolam","ALPRAZOLAM","02349191","N05BA12","28:24.08","drug","","direct","no"
"altace","ALTACE","02221829","C09AA05","24:32.04","drug","","direct","no"
"altace 10mg","ALTACE","02221829","C09AA05","24:32.04","drug","","word","no"
"Altace HCL","ALTACE","02221829","C09AA05","24:32.04","drug","","word","no"
"Alvesco","ALVESCO","02285592","R03BA08","68:04.00","drug","","direct","no"
"Alvesco ciclesonide","ALVESCO","02285592","R03BA08","68:04.00","drug","","word","no"
"Alysena21","ALYSENA 21","02387875","G03AA07","68:12.00","drug","","simple","no"
"amitriptyline","AMITRIPTYLINE","02451786","N06AA09","28:16.04.28","drug","","direct","no"
"Amlodipine","AMLODIPINE","02326795","C08CA01","24:28.08","drug","","direct","no"
"Amlodipine (Norvasc) 5 mg","AMLODIPINE","02326795","C08CA01","24:28.08","drug","","word","no"
"AMLODIPINE 2.5 mg","AMLODIPINE","02326795","C08CA01","24:28.08","drug","YES","word","no"
"AMLODIPINE 5MG","AMLODIPINE","02326795","C08CA01","24:28.08","drug","","word","no"
"Amlodipine andAtorvastat","AMLODIPINE","02326795","C08CA01","24:28.08","drug","","word","no"
"Amlodipine Besylate","AMLODIPINE","02326795","C08CA01","24:28.08","drug","","word","no"
"anaprox","ANAPROX","00491772","M01AE02","28:08.04.92","drug","","direct","no"
