"input","match","din/npn","dtc","ahfs","database","type","matches","both"
")-Calcium with Vitamin D","VITAMIN D","02241564","A11CC","88:16.00","drug","word","1","yes"
"00026158  Senokot  Sennosides 8.6 mg","Senokot Tablets","00026158","","","natural","code","1",""
"02237556 Eur-Fer   300mg","Euro-Fer","02237556","","","natural","code","1",""
"02367335 sandoz latanoprost 1 drop","SANDOZ LATANOPROST","02367335","S01EE01","52:40.28","drug","code","1","no"
"02371987 Mar-Atenolol  50mg","MAR-ATENOLOL","02371987","C07AB03","24:24.00","drug","code","1",""
"02374420  Apo-Anastrozole  1mg","APO-ANASTROZOLE","02374420","L02BG03","10:00.00","drug","code","1","no"
"02375095 cetirizine, 10mg","CETIRIZINE","02375095","R06AE07","04:08.00","drug","code","1",""
"02377721  Apo-risedronate 150mg","APO-RISEDRONATE","02377721","M05BA07","92:24.00","drug","code","1",""
"02382075 Bupropion  150mg","MYLAN-BUPROPION XL","02382075","N06AX12","28:16.04.92","drug","code","1","no"
"02382083  Mylan-Bupropion XL  300mg","MYLAN-BUPROPION XL","02382083","N06AX12","28:16.04.92","drug","code","1",""
"02387875 Alysena 21  0.1mg/.02mg","ALYSENA 21","02387875","G03AA07","68:12.00","drug","code","1","no"
"02391481 mar-gabapentin 300 mg","MAR-GABAPENTIN","02391481","N03AX12","28:12.92","drug","code","1",""
"02394618, METHADONE","METHADOSE","02394618","N07BC02","28:08.08","drug","code","1",""
"02394685  latanoprost/ timolol  5/5 mcg","SANDOZ LATANOPROST/TIMOLOL","02394685","S01ED51","52:40.08 52:40.28","drug","code","2","no"
"02394790 asa low dose 81 mg","ASA DAILY LOW DOSE","02394790","B01AC06","28:08.04.24","drug","code","1",""
"02397714  Eliquis (Apixaban) 5mg","ELIQUIS","02397714","B01AF02","20:12.04.14","drug","code","1",""
"02402777 apo-allopurinol 200mg","APO-ALLOPURINOL","02402777","M04AA01","92:16.00","drug","code","1",""
"02405636 ROSUVASTATIN","ROSUVASTATIN","02405636","C10AA07","24:06.08","drug","code","1",""
"02413809  Teva-Risedronate 150mg","TEVA-RISEDRONATE","02413809","M05BA07","92:24.00","drug","code","1",""
"02434946  Apo-Zolpidem ODT  10mg","APO-ZOLPIDEM ODT","02434946","N05CF02","28:24.92","drug","code","1","no"
"100 % wild fish oil 1000 mg","Fish Oil","80000846","","","natural","word","4",""
"2% Salicylic Acid in Desonide Ointment","Acid","80023450","","","natural","word","1",""
"20/20 vision","20/20 Vision","80025091","","","natural","direct","1",""
"2385929 venlafaxine hcl 37.5 mg","VENLAFAXINE XR","02385929","N06AX16","28:16.04.16","drug","code","1",""
"2403587  Apo-Mometasone   50mcg","APO-MOMETASONE","02403587","R01AD09","52:08.08","drug","code","1","no"
"30 Lithane","LITHANE","00406775","N05AN01","28:28.00","drug","word","1","no"
"30 Synthroid","SYNTHROID","02172070","H03AA01","68:36.04","drug","word","1","no"
"5 htp","5-Htp","80007051","","","natural","simple","4",""
"50+ MULTIVITAMIN","MULTIVITAMIN","02236800","","","drug","word","1","yes"
"50+ multivitamin","MULTIVITAMIN","02236800","","","drug","word","1","yes"
"50+ vitamin","Daily Multi Vitamin","80067478","","","natural","word","1",""
"60 biocal-d forte","Biocal-D","80004143","","","natural","word","3",""
"80000435  Novo-Ferrogluconate  300mg","Ferrous Gluconate","80000435","","","natural","code","1",""
"80040226-Slow K 8MEQ","Slow-K","80040226","","","natural","code","1",""
"a.g.select canneberge","Canneberge","80009089","","","natural","word","1",""
"a.s.a","A.S.A.","02096463","N02BA01","28:08.04.24","drug","simple","2","no"
"a.s.a 81 mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","simple","1","no"
"acebutolol 200 mg","ACEBUTOLOL","02286246","C07AB04","24:24.00","drug","word","1","no"
"Acetaminophen  500mg","ACETAMINOPHEN","02236958","N02BE01","28:08.92","drug","word","1","no"
"acetaminophen 500mg","ACETAMINOPHEN 500MG","02238806","N02BE01","28:08.92","drug","direct","1","no"
"acetaminophen 500mg","ACETAMINOPHEN 500MG","02238806","N02BE01","28:08.92","drug","direct","1","no"
"acetaminophen extra fort","ACETAMINOPHEN","02236958","N02BE01","28:08.92","drug","word","1","no"
"acetaminophene","ACETAMINOPHENE","02269961","N02BE01","28:08.92","drug","direct","1","no"
"acetaminophene","ACETAMINOPHENE","02269961","N02BE01","28:08.92","drug","direct","1","no"
"acetaminophene","ACETAMINOPHENE","02269961","N02BE01","28:08.92","drug","direct","1","no"
"acetaminophène","ACETAMINOPHENE","02269961","N02BE01","28:08.92","drug","direct","1","no"
"acetaminophene","ACETAMINOPHENE","02269961","N02BE01","28:08.92","drug","direct","1","no"
"acetaminophene","ACETAMINOPHENE","02269961","N02BE01","28:08.92","drug","direct","1","no"
"Acetaminophene","ACETAMINOPHENE","02269961","N02BE01","28:08.92","drug","direct","1","no"
"acetaminophene 650","ACETAMINOPHENE","02269961","N02BE01","28:08.92","drug","word","1","no"
"acetaminophene 650 mg","ACETAMINOPHENE","02269961","N02BE01","28:08.92","drug","word","1","no"
"acetyl-l-carnitine","Acetyl-L-Carnitine","80041758","","","natural","direct","1",""
"Acetylsalicylic Acid","Acid","80023450","","","natural","word","1",""
"Acid Reducer","ACID REDUCER","02230507","A02BA02","56:28.12","drug","direct","1","no"
"acid reduction pill like tecta","TECTA","02267233","A02BC02","56:28.36","drug","word","1","no"
"acid reflux medication","Acid","80023450","","","natural","word","1",""
"acide folique","Acide Folique","80031495","","","natural","direct","1",""
"acide folique 5 mg","Acide Folique","80031495","","","natural","word","1",""
"acide folique 5 mg","Acide Folique","80031495","","","natural","word","1",""
"acidophilus","Acidophilus","80012580","","","natural","direct","1",""
"acidophilus","Acidophilus","80012580","","","natural","direct","1",""
"acidophilus","Acidophilus","80012580","","","natural","direct","1",""
"acidophilus","Acidophilus","80012580","","","natural","direct","1",""
"acidophilus","Acidophilus","80012580","","","natural","direct","1",""
"Acidophilus","Acidophilus","80012580","","","natural","direct","1",""
"acidophilus","Acidophilus","80012580","","","natural","direct","1",""
"acidophilus & bifidus","Acidophilus & Bifidus","80034507","","","natural","direct","1",""
"Acidophilus & Bifidus","Acidophilus & Bifidus","80034507","","","natural","direct","1",""
"acidophilus ultra","Acidophilus Ultra","80022124","","","natural","direct","1",""
"Act-Atorvastatin","ACT ATORVASTATIN","02310899","C10AA05","24:06.08","drug","simple","1","no"
