"input","match","database","type","matches","both"
"02367335 sandoz latanoprost 1 drop","SANDOZ LATANOPROST","drug","code","1","no"
"02371987 Mar-Atenolol  50mg","MAR-ATENOLOL","drug","code","1",""
"02374420  Apo-Anastrozole  1mg","APO-ANASTROZOLE","drug","code","1","no"
"02375095 cetirizine, 10mg","CETIRIZINE","drug","code","1",""
"02377721  Apo-risedronate 150mg","APO-RISEDRONATE","drug","code","1",""
"02382075 Bupropion  150mg","MYLAN-BUPROPION XL","drug","code","1","no"
"02382083  Mylan-Bupropion XL  300mg","MYLAN-BUPROPION XL","drug","code","1",""
"02387875 Alysena 21  0.1mg/.02mg","ALYSENA 21","drug","code","1","no"
"02391481 mar-gabapentin 300 mg","MAR-GABAPENTIN","drug","code","1",""
"02394618, METHADONE","METHADOSE","drug","code","1",""
"02394685  latanoprost/ timolol  5/5 mcg","SANDOZ LATANOPROST/TIMOLOL","drug","code","1","no"
"02394790 asa low dose 81 mg","ASA DAILY LOW DOSE","drug","code","1",""
"02397714  Eliquis (Apixaban) 5mg","ELIQUIS","drug","code","1",""
"02402777 apo-allopurinol 200mg","APO-ALLOPURINOL","drug","code","1",""
"02405636 ROSUVASTATIN","ROSUVASTATIN","drug","code","1",""
"02413809  Teva-Risedronate 150mg","TEVA-RISEDRONATE","drug","code","1",""
"02434946  Apo-Zolpidem ODT  10mg","APO-ZOLPIDEM ODT","drug","code","1","no"
"2385929 venlafaxine hcl 37.5 mg","VENLAFAXINE XR","drug","code","1",""
"2403587  Apo-Mometasone   50mcg","APO-MOMETASONE","drug","code","1","no"
"apo-mometason nasal spray DIN 02403587","APO-MOMETASONE","drug","code","1","no"
"axiron DIN 02382369","AXIRON","drug","code","1","no"
"DIN 02237656 ferrous fumarate","AVON CLEARSKIN OVERNIGHT ACNE TREATMENT","drug","code","1","no"
"DIN 2374420 APO-ANASTROZOLE","APO-ANASTROZOLE","drug","code","1","no"
"lan nitro patch 0.4 DIN 02407450","MYLAN-NITRO PATCH 0.4","drug","code","1","no"
"mar-atenolol DIN 2371995","MAR-ATENOLOL","drug","code","1",""
"MAR-ATENOLOL, 02371987","MAR-ATENOLOL","drug","code","1",""
"nucynta ER 100 mg DIN 02415585","NUCYNTA EXTENDED-RELEASE","drug","code","1",""
"ran-montelukast DIN 02389517","RAN-MONTELUKAST","drug","code","1","no"
"SDZ-quetiapine xr DIN 2407671","SANDOZ QUETIAPINE XRT","drug","code","1","no"
"stribild DIN 02397137","STRIBILD","drug","code","1","no"
"teva-pregabalin DIN 02361183","TEVA-PREGABALIN","drug","code","1",""
"teva-tamsulosin cr DIN 02368242","TEVA-TAMSULOSIN CR","drug","code","1","no"
"voltaren DIN 02393190","VOLTAREN EMULGEL EXTRA STRENGTH","drug","code","1","no"
"acetaminophen 500mg","ACETAMINOPHEN 500MG","drug","direct","1","no"
"acetaminophen 500mg","ACETAMINOPHEN 500MG","drug","direct","1","no"
"acetaminophène","ACETAMINOPHENE","drug","direct","1","no"
"acetaminophene","ACETAMINOPHENE","drug","direct","1","no"
"acetaminophene","ACETAMINOPHENE","drug","direct","1","no"
"acetaminophene","ACETAMINOPHENE","drug","direct","1","no"
"Acetaminophene","ACETAMINOPHENE","drug","direct","1","no"
"acetaminophene","ACETAMINOPHENE","drug","direct","1","no"
"acetaminophene","ACETAMINOPHENE","drug","direct","1","no"
"Acid Reducer","ACID REDUCER","drug","direct","1","no"
"actonel","ACTONEL","drug","direct","1","no"
"Actonel","ACTONEL","drug","direct","1","no"
"actonel","ACTONEL","drug","direct","1","no"
"Actonel","ACTONEL","drug","direct","1","no"
"adalat","ADALAT","drug","direct","1","no"
"adalat","ADALAT","drug","direct","1","no"
"Adalat","ADALAT","drug","direct","1","no"
"adalat","ADALAT","drug","direct","1","no"
"adalat","ADALAT","drug","direct","1","no"
"adalat","ADALAT","drug","direct","1","no"
"adalat","ADALAT","drug","direct","1","no"
"adalat","ADALAT","drug","direct","1","no"
"advair 250","ADVAIR 250","drug","direct","1","no"
"advair 250 diskus","ADVAIR 250 DISKUS","drug","direct","1","no"
"advil cold and sinus","ADVIL COLD AND SINUS","drug","direct","1","no"
"aerius","AERIUS","drug","direct","1","no"
"aerius","AERIUS","drug","direct","1","no"
"Aggrenox","AGGRENOX","drug","direct","1","no"
"Alendronate","ALENDRONATE","drug","direct","1","no"
"alesse 28","ALESSE 28","drug","direct","1","no"
"Aleve","ALEVE","drug","direct","1","no"
"aleve","ALEVE","drug","direct","1","no"
"Aleve","ALEVE","drug","direct","1","no"
"Aleve","ALEVE","drug","direct","1","no"
"aleve","ALEVE","drug","direct","1","no"
"aleve","ALEVE","drug","direct","1","no"
"Aleve","ALEVE","drug","direct","1","no"
"aleve","ALEVE","drug","direct","1","no"
"aleve","ALEVE","drug","direct","1","no"
"Alfalfa","ALFALFA","drug","direct","1","yes"
"Allopurinol","ALLOPURINOL","drug","direct","1","no"
"Allopurinol","ALLOPURINOL","drug","direct","1","no"
"Allopurinol","ALLOPURINOL","drug","direct","1","no"
"allopurinol","ALLOPURINOL","drug","direct","1","no"
"Allopurinol","ALLOPURINOL","drug","direct","1","no"
"Allopurinol","ALLOPURINOL","drug","direct","1","no"
"Allopurinol","ALLOPURINOL","drug","direct","1","no"
"allopurinol","ALLOPURINOL","drug","direct","1","no"
"allopurinol","ALLOPURINOL","drug","direct","1","no"
"Allopurinol","ALLOPURINOL","drug","direct","1","no"
"allopurinol","ALLOPURINOL","drug","direct","1","no"
"allopurinol","ALLOPURINOL","drug","direct","1","no"
"Allopurinol","ALLOPURINOL","drug","direct","1","no"
"alphagan","ALPHAGAN","drug","direct","1","no"
"alprazolam","ALPRAZOLAM","drug","direct","1","no"
"altace","ALTACE","drug","direct","1","no"
"altace","ALTACE","drug","direct","1","no"
"altace","ALTACE","drug","direct","1","no"
"altace","ALTACE","drug","direct","1","no"
"ALTACE","ALTACE","drug","direct","1","no"
"altace","ALTACE","drug","direct","1","no"
"Altace HCT","ALTACE HCT","drug","direct","1","no"
"Alvesco","ALVESCO","drug","direct","1","no"
"alvesco","ALVESCO","drug","direct","1","no"
"amitriptyline","AMITRIPTYLINE","drug","direct","1","no"
"amitriptyline","AMITRIPTYLINE","drug","direct","1","no"
"Amitriptyline","AMITRIPTYLINE","drug","direct","1","no"
"Amitriptyline","AMITRIPTYLINE","drug","direct","1","no"
"Amlodipine","AMLODIPINE","drug","direct","1","no"
"amlodipine","AMLODIPINE","drug","direct","1","no"
"amlodipine","AMLODIPINE","drug","direct","1","no"
"amlodipine","AMLODIPINE","drug","direct","1","no"
"Amlodipine","AMLODIPINE","drug","direct","1","no"
"anaprox","ANAPROX","drug","direct","1","no"
"anaprox","ANAPROX","drug","direct","1","no"
"androgel","ANDROGEL","drug","direct","1","no"
"Androgel","ANDROGEL","drug","direct","1","no"
"apo triazide","APO TRIAZIDE","drug","direct","1","no"
"apo triazide","APO TRIAZIDE","drug","direct","1","no"
"apo-acebutolol","APO-ACEBUTOLOL","drug","direct","1","no"
"Apo-Hydro","APO-HYDRO","drug","direct","1","no"
"apo-hydro","APO-HYDRO","drug","direct","1","no"
"Apo-Latanoprost","APO-LATANOPROST","drug","direct","1","no"
"apo-metoprolol","APO-METOPROLOL","drug","direct","1","no"
"Apo-Metoprolol","APO-METOPROLOL","drug","direct","1","no"
"Apo-Metoprolol","APO-METOPROLOL","drug","direct","1","no"
"Apo-Metronidazole","APO-METRONIDAZOLE","drug","direct","1","no"
"apo-mometasone","APO-MOMETASONE","drug","direct","1","no"
"apo-ranitidine","APO-RANITIDINE","drug","direct","1","no"
"apo-sertraline","APO-SERTRALINE","drug","direct","1","no"
