"DIN","status","name","new name","description","new description","atc_number(s)","atc(s)","indicator(s)"
"00000299","cancelled","EES-200","","EES-200 (ERYTHROMYCIN (ERYTHROMYCIN ETHYLSUCCINATE) 40MG)","","J01FA01","ERYTHROMYCIN",""
"00000655","cancelled","ISOPTO CARBACHOL 1.5%","","ISOPTO CARBACHOL 1.5% (CARBACHOL 1.5%)","","S01EB02","CARBACHOL",""
"00000663","cancelled","ISOPTO CARBACHOL 3%","","ISOPTO CARBACHOL 3% (CARBACHOL 3%)","","S01EB02","CARBACHOL",""
"00000779","cancelled","ISOPTO HOMATROPINE 2%","","ISOPTO HOMATROPINE 2% (HOMATROPINE HYDROBROMIDE 2%)","","S01FA05","HOMATROPINE",""
"00000787","cancelled","ISOPTO HOMATROPINE 5%","","ISOPTO HOMATROPINE 5% (HOMATROPINE HYDROBROMIDE 5%)","","S01FA05","HOMATROPINE",""
"00000809","marketed","ISOPTO TEARS 0.5%","ALCON TEARS 0.5%","ISOPTO TEARS 0.5% (HYPROMELLOSE 0.5%)","ALCON TEARS 0.5% (HYPROMELLOSE 0.5%)","S01XA20","ARTIFICIAL TEARS AND OTHER INDIFFERENT PREPARATIONS.",""
"00000817","marketed","ISOPTO TEARS 1.0%","ALCON TEARS 1%","ISOPTO TEARS 1.0% (HYPROMELLOSE 1%)","ALCON TEARS 1% (HYPROMELLOSE 1%)","S01XA20","ARTIFICIAL TEARS AND OTHER INDIFFERENT PREPARATIONS.",""
"00000841","cancelled","ISOPTO CARPINE LIQ 1%","ISOPTO CARPINE","ISOPTO CARPINE LIQ 1% (PILOCARPINE HYDROCHLORIDE 10MG)","ISOPTO CARPINE (PILOCARPINE HYDROCHLORIDE 1%)","S01EB01","PILOCARPINE",""
"00000868","marketed","ISOPTO CARPINE LIQ 2%","ISOPTO CARPINE","ISOPTO CARPINE LIQ 2% (PILOCARPINE HYDROCHLORIDE 20MG)","ISOPTO CARPINE (PILOCARPINE HYDROCHLORIDE 2%)","S01EB01","PILOCARPINE",""
"00000884","cancelled","ISOPTO CARPINE LIQ 4%","ISOPTO CARPINE","ISOPTO CARPINE LIQ 4% (PILOCARPINE HYDROCHLORIDE 40MG)","ISOPTO CARPINE (PILOCARPINE HYDROCHLORIDE 4%)","S01EB01","PILOCARPINE",""
"00000981","marketed","MYDRIACYL 0.5%","MYDRIACYL","MYDRIACYL 0.5% (TROPICAMIDE .5%)","MYDRIACYL (TROPICAMIDE 0.5%)","S01FA06","TROPICAMIDE",""
"00001007","marketed","MYDRIACYL LIQ 1%","MYDRIACYL","MYDRIACYL LIQ 1% (TROPICAMIDE 1%)","MYDRIACYL (TROPICAMIDE 1%)","S01FA06","TROPICAMIDE",""
"00001147","marketed","ALBALON","","ALBALON (NAPHAZOLINE HYDROCHLORIDE .1%)","","S01GA01","NAPHAZOLINE",""
"00001686","dormant","XYLOCAINE VISCOUS 2%","","XYLOCAINE VISCOUS 2% (LIDOCAINE HYDROCHLORIDE 20MG)","","N01BB02","LIDOCAINE",""
"00001694","marketed","XYLOCAINE JELLY 2%","","XYLOCAINE JELLY 2% (LIDOCAINE HYDROCHLORIDE 20MG)","","N01BB02","LIDOCAINE",""
"00001724","cancelled","XYLOCAINE 0.5%","","XYLOCAINE 0.5% (LIDOCAINE HYDROCHLORIDE 5MG)","","N01BB02","LIDOCAINE",""
"00001732","marketed","XYLOCAINE 1%","","XYLOCAINE 1% (LIDOCAINE HYDROCHLORIDE 10MG)","","N01BB02","LIDOCAINE",""
"00001791","marketed","XYLOCAINE 1% W EPINEPHRINE 1:100000","","XYLOCAINE 1% W EPINEPHRINE 1:100000 (EPINEPHRINE 0.01MG, LIDOCAINE HYDROCHLORIDE 10MG)","XYLOCAINE 1% W EPINEPHRINE 1:100000 (EPINEPHRINE (EPINEPHRINE BITARTRATE) 0.01MG, LIDOCAINE HYDROCHLORIDE 10MG)","N01BB52;N01BB52","LIDOCAINE, COMBINATIONS;LIDOCAINE, COMBINATIONS",""
"00001805","marketed","XYLOCAINE 1% W EPINEPHRINE 1:200000","","XYLOCAINE 1% W EPINEPHRINE 1:200000 (EPINEPHRINE 5μG, LIDOCAINE HYDROCHLORIDE 10MG)","XYLOCAINE 1% W EPINEPHRINE 1:200000 (EPINEPHRINE (EPINEPHRINE BITARTRATE) 5MCG, LIDOCAINE HYDROCHLORIDE 10MG)","N01BB52;N01BB52","LIDOCAINE, COMBINATIONS;LIDOCAINE, COMBINATIONS",""
"00001821","cancelled","XYLOCAINE 2% W EPINEPHRINE 1:100000","","XYLOCAINE 2% W EPINEPHRINE 1:100000 (EPINEPHRINE (EPINEPHRINE BITARTRATE) 0.01MG, LIDOCAINE HYDROCHLORIDE 20MG)","","N01BB52;N01BB52","LIDOCAINE, COMBINATIONS;LIDOCAINE, COMBINATIONS",""
"00001937","marketed","XYLOCARD INJ","XYLOCARD","XYLOCARD INJ (LIDOCAINE HYDROCHLORIDE 100MG)","XYLOCARD (LIDOCAINE HYDROCHLORIDE 100MG)","C01BB01","LIDOCAINE",""
"00001961","marketed","XYLOCAINE OINTMENT 5%","","XYLOCAINE OINTMENT 5% (LIDOCAINE 5%)","","D04AB01","LIDOCAINE",""
"00003867","cancelled","DULCOLAX","","DULCOLAX (BISACODYL 5MG)","","A06AB02","BISACODYL",""
"00003875","marketed","DULCOLAX SUP 10MG","DULCOLAX","DULCOLAX SUP 10MG (BISACODYL 10MG)","DULCOLAX (BISACODYL 10MG)","A06AB02","BISACODYL",""
"00004596","marketed","IMURAN","","IMURAN (AZATHIOPRINE 50MG)","","L04AX01","AZATHIOPRINE",""
"00004618","marketed","MYLERAN","","MYLERAN (BUSULFAN 2MG)","","L01AB01","BUSULFAN",""
"00004626","marketed","LEUKERAN","","LEUKERAN (CHLORAMBUCIL 2MG)","","L01AA02","CHLORAMBUCIL",""
"00004715","marketed","ALKERAN","","ALKERAN (MELPHALAN 2MG)","","L01AA03","MELPHALAN",""
