"DIN","status","name","description","atc_number(s)","atc(s)"
"00654493","approved","PMS-AMITRIPTYLINE","PMS-AMITRIPTYLINE (AMITRIPTYLINE HYDROCHLORIDE 75MG)","N06AA09","AMITRIPTYLINE"
"00789429","marketed","PANCREASE MT 16","PANCREASE MT 16 (AMYLASE 70000UNIT, PROTEASE 40000UNIT, LIPASE 16800UNIT)","A09AA02;A09AA02;A09A","MULTIENZYMES (LIPASE, PROTEASE ETC);MULTIENZYMES (LIPASE, PROTEASE ETC);MULTIENZYMES (LIPASE, PROTEASE ETC)"
"00789437","marketed","PANCREASE MT 10","PANCREASE MT 10 (AMYLASE 43750UNIT, PROTEASE 25000UNIT, LIPASE 10500UNIT)","A09AA02;A09AA02;A09A","MULTIENZYMES (LIPASE, PROTEASE ETC);MULTIENZYMES (LIPASE, PROTEASE ETC);MULTIENZYMES (LIPASE, PROTEASE ETC)"
"00789445","marketed","PANCREASE MT 4","PANCREASE MT 4 (AMYLASE 17500UNIT, PROTEASE 10000UNIT, LIPASE 4200UNIT)","A09AA02;A09AA02;A09A","MULTIENZYMES (LIPASE, PROTEASE ETC);MULTIENZYMES (LIPASE, PROTEASE ETC);MULTIENZYMES (LIPASE, PROTEASE ETC)"
"02144301","approved","MIACALCIN INJECTION 200IU/ML","MIACALCIN INJECTION 200IU/ML (CALCITONIN (SALMON SYNTHETIC) 200UNIT)","H05BA01","CALCITONIN (SALMON SYNTHETIC)"
"02172585","approved","ZADITEN - DPS 1MG/ML","ZADITEN - DPS 1MG/ML (KETOTIFEN (KETOTIFEN FUMARATE) 1MG)","R06AX17","KETOTIFEN"
"02189135","approved","THROMBATE III","THROMBATE III (ANTITHROMBIN III (HUMAN) 500UNIT)","B01AB02","ANTITHROMBIN"
"02202492","approved","T-LO","T-LO (TIMOLOL (TIMOLOL MALEATE) 0.25%)","S01ED01","TIMOLOL"
"02202506","approved","T-LO","T-LO (TIMOLOL (TIMOLOL MALEATE) 0.5%)","S01ED01","TIMOLOL"
"02207664","approved","BUSPIRONE","BUSPIRONE (BUSPIRONE HYDROCHLORIDE 5MG)","N05BE01","BUSPIRONE"
"02210584","approved","PHARMACITRON","PHARMACITRON (ACETAMINOPHEN 500MG, ACETAMINOPHEN 500MG, ASCORBIC ACID 50MG, ASCORBIC ACID 50MG, PHENIRAMINE MALEATE 20MG, PHENIRAMINE MALEATE 20MG, PHENYLEPHRINE HYDROCHLORIDE 10MG, PHENYLEPHRINE HYDROCHLORIDE 10MG)","N02BE51;N02BE51;N02B","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS;ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS;ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS;ACE"
"02220571","approved","APO-DIPYRIDAMOLE","APO-DIPYRIDAMOLE (DIPYRIDAMOLE 100MG)","B01AC07","DIPYRIDAMOLE"
"02223155","approved","BUSPIRONE-5","BUSPIRONE-5 (BUSPIRONE HYDROCHLORIDE 5MG)","",""
"02223651","approved","ALPHA1-PROTEINASE INHIBITOR (HUMAN)","ALPHA1-PROTEINASE INHIBITOR (HUMAN) (ALPHA1-PROTEINASE INHIBITOR (HUMAN) 1G)","B02AB02","ALFA1 ANTITRYPSIN"
"02229770","approved","MYO-THER ANTIMICROBIAL SKIN CLEANSER","MYO-THER ANTIMICROBIAL SKIN CLEANSER (TRICLOSAN 1%)","D08AE04","TRICLOSAN"
"02229945","approved","ALPET E-3","ALPET E-3 (ISOPROPYL ALCOHOL 70%)","",""
"02230231","approved","CHEW C BERRY TABLETS - 125MG","CHEW C BERRY TABLETS - 125MG (ASCORBIC ACID (ASCORBIC ACID, SODIUM ASCORBATE) 125MG)","",""
"02230261","approved","B. KAMINS, CHEMIST BIO-MAPLE DAY CREAM","B. KAMINS, CHEMIST BIO-MAPLE DAY CREAM (OXYBENZONE 30MG, OCTINOXATE 50MG)","D02BA30;D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION"
"02230262","approved","B. KAMINS, CHEMIST BIO-MAPLE DAY LOTION","B. KAMINS, CHEMIST BIO-MAPLE DAY LOTION (OCTINOXATE 30MG)","D02BA02","OCTYL METHOXYCINNAMATE"
"02230273","approved","TRIPACEL","TRIPACEL (PERTACTIN 3MCG, PERTACTIN 3MCG, FIMBRIAE 5MCG, FIMBRIAE 5MCG, FILAMENTOUS HAEMAGGLUTININ 5MCG, FILAMENTOUS HAEMAGGLUTININ 5MCG, PERTUSSIS TOXOID 10MCG, PERTUSSIS TOXOID 10MCG, TETANUS TOXOID 5LF, TETANUS TOXOID 5LF, DIPHTHERIA TOXOID 15LF, DIPHTHERIA TOXOID 15LF)","J07AJ52;J07AJ52;J07A","PERTUSSIS, PURIFIED ANTIGEN, COMB. WITH TOXOIDS;PERTUSSIS, PURIFIED ANTIGEN, COMB. WITH TOXOIDS;PERTUSSIS, PURIFIED ANTI"
"02230400","approved","SOFLAX EX MICRO-ENEMA","SOFLAX EX MICRO-ENEMA (BISACODYL 2MG)","A06AB02","BISACODYL"
"02230407","approved","CLOPIXOL DEPOT 500MG/ML","CLOPIXOL DEPOT 500MG/ML (ZUCLOPENTHIXOL DECANOATE 500MG)","N05AF05","ZUCLOPENTHIXOL"
"02230415","approved","TRIMAX EVENING PRIMROSE CAPSULE","TRIMAX EVENING PRIMROSE CAPSULE (VITAMIN E (D-ALPHA TOCOPHEROL) 14.9UNIT, VITAMIN E (D-ALPHA TOCOPHEROL) 14.9UNIT, CIS-LINOLEIC ACID (EVENING PRIMROSE OIL) 360MG, CIS-LINOLEIC ACID (EVENING PRIMROSE OIL) 360MG, GAMMA-LINOLENIC ACID (EVENING PRIMROSE OIL) 50MG, GAMMA-LINOLENIC ACID (EVENING PRIMROSE OIL) 50MG)","A11JC;A11JC;A11JC;A1","VITAMINS, OTHER COMBINATIONS;VITAMINS, OTHER COMBINATIONS;VITAMINS, OTHER COMBINATIONS;VITAMINS, OTHER COMBINATIONS;VITA"
"02230490","approved","HENRY SCHEIN TOPICAL FOAM FLUORIDE","HENRY SCHEIN TOPICAL FOAM FLUORIDE (FLUORIDE (SODIUM FLUORIDE) 1.23%)","",""
"02230510","approved","TENOXICAM","TENOXICAM (TENOXICAM 20MG)","M01AC02","TENOXICAM"
"02230524","approved","DOM-FLUTAMIDE","DOM-FLUTAMIDE (FLUTAMIDE 250MG)","L02BB01","FLUTAMIDE"
"02230562","approved","ALKADRENERGY TABLETS","ALKADRENERGY TABLETS (ZINC (ZINC GLUCONATE) 9MG, ASCORBIC ACID (ASCORBIC ACID, ASCORBYL PALMITATE) 60MG, VITAMIN E (DL-ALPHA TOCOPHERYL ACETATE) 15UNIT, VITAMIN A (BETA-CAROTENE) 2500UNIT, VITAMIN B12 45MCG, CHROMIUM (CHROMIC CHLORIDE) 5MCG, SELENIUM (SODIUM SELENITE) 37.5MCG, CALCIUM (CALCIUM CITRATE) 50MG, CHOLINE (CHOLINE BITARTRATE) 100MG, INOSITOL 25MG, BIOTIN 150MCG, FOLIC ACID 0.2MG, D-PANTOTHENIC ACID 15MG, NICOTINAMIDE 40MG, MOLYBDENUM (MOLYBDENUM HVP CHELATE) 3MCG, MAGNESIUM (MAGNESIUM OXIDE, MAGNESIUM HVP CHELATE) 50MG, IODINE (KELP) 0.1MG, MANGANESE (MANGANESE HVP CHELATE) 0.5MG, VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE) 6.25MG, VITAMIN B1 (VITAMIN B1) 6.25MG, VITAMIN B2 (VITAMIN B2) 6.25MG)","A11AA03;A11AA03;A11A","MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS;MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS;MULTIVITAMINS AND "
"02230573","approved","ADRENERGY TABLETS","ADRENERGY TABLETS (ZINC (ZINC GLUCONATE) 5MG, ASCORBIC ACID (ASCORBIC ACID) 150MG, D-PANTOTHENIC ACID 60MG, NICOTINAMIDE 80MG, MANGANESE (MANGANESE HVP CHELATE) 1MG)","",""
"02230615","approved","DOM-AMOXICILLIN","DOM-AMOXICILLIN (AMOXICILLIN (AMOXICILLIN TRIHYDRATE) 250MG)","J01CA04","AMOXICILLIN"
"02230616","approved","DOM-AMOXICILLIN","DOM-AMOXICILLIN (AMOXICILLIN (AMOXICILLIN TRIHYDRATE) 500MG)","J01CA04","AMOXICILLIN"
"02230617","approved","DOM-AMOXICILLIN","DOM-AMOXICILLIN (AMOXICILLIN (AMOXICILLIN TRIHYDRATE) 125MG)","J01CA04","AMOXICILLIN"
